Ignore,DCLG Codes,ONS Codes,County and Local Authority area ,Region,Number of households 2008 mid-year estimate) (000s),White,Black or Black British,Asian or Asian British,Mixed,Chinese or Other Ethnic Group,Ethnic Group Not Stated,Total,No. per 1000.0 h/holds,Eligible homeless and in priority need but intentionally ,Eligible homeless but not in priority need,Eligible but not homeless ,Total decisions,Bed and breakfast (including shared annexe),Hostels (including women's refuges),LA/HA stock,Private sector leased (by LA or HA),Other Types (inc private landlord),Total in TA,No. per 1000.0 h/holds,Duty Owed but no accommodation has been secured
114.00,X3025,37UF,Mansfield,EAST MIDLANDS,43.00,42.00,0.00,0.00,0.00,0.00,0.00,42.00,1.00,4.00,2.00,32.00,80.00,0.00,0.00,49.00,0.00,0.00,49.00,1.10,22.00
117.00,8.00,F,WEST MIDLANDS,WEST MIDLANDS,2242.00,1340.00,350.00,230.00,100.00,90.00,110.00,2220.00,1.00,260.00,1070.00,1320.00,4870.00,200.00,140.00,480.00,500.00,50.00,1360.00,0.60,1300.00
207.00,A5840,00BE,Southwark,LONDON,124.00,14.00,43.00,1.00,0.00,58.00,10.00,126.00,1.00,26.00,32.00,39.00,223.00,36.00,203.00,187.00,312.00,14.00,752.00,6.10,311.00
210.00,X5990,00BK,Westminster,LONDON,120.00,40.00,24.00,11.00,2.00,30.00,9.00,116.00,1.00,44.00,23.00,65.00,248.00,188.00,0.00,14.00,1360.00,163.00,1725.00,14.40,109.00
256.00,J1725,24UF,Gosport,SOUTH EAST,34.00,19.00,0.00,0.00,0.00,0.00,16.00,35.00,1.00,13.00,0.00,15.00,63.00,6.00,32.00,13.00,166.00,0.00,217.00,6.40,0.00
294.00,Q3820,45UE,Crawley,SOUTH EAST,43.00,31.00,5.00,2.00,1.00,1.00,4.00,44.00,1.00,9.00,29.00,12.00,94.00,4.00,84.00,49.00,51.00,27.00,215.00,5.00,0.00
303.00,Z0835,00HF,Isles of Scilly,SOUTH WEST,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,0.00
23.00,E0915,16UD,Carlisle,NORTH WEST,47.00,42.00,0.00,0.00,0.00,0.00,0.00,42.00,0.90,12.00,16.00,22.00,92.00,9.00,19.00,0.00,0.00,0.00,28.00,0.60,3.00
65.00,T2730,36UG,Scarborough,YORKSHIRE AND THE HUMBER,49.00,44.00,0.00,0.00,0.00,0.00,0.00,44.00,0.90,2.00,4.00,19.00,69.00,33.00,0.00,0.00,21.00,0.00,54.00,1.10,13.00
138.00,G4620,00CS,Sandwell,WEST MIDLANDS,118.00,66.00,8.00,12.00,19.00,3.00,3.00,111.00,0.90,14.00,47.00,29.00,201.00,3.00,0.00,0.00,10.00,0.00,13.00,0.10,48.00
139.00,Q4625,00CT,Solihull,WEST MIDLANDS,84.00,67.00,4.00,2.00,2.00,1.00,0.00,76.00,0.90,2.00,3.00,6.00,87.00,0.00,0.00,30.00,0.00,0.00,30.00,0.40,57.00
147.00,R1845,47UG,Wyre Forest,WEST MIDLANDS,42.00,36.00,0.00,0.00,1.00,0.00,0.00,37.00,0.90,2.00,53.00,1.00,93.00,3.00,0.00,14.00,0.00,0.00,17.00,0.40,17.00
167.00,N1540,22UJ,Harlow,EAST of ENGLAND,35.00,22.00,7.00,0.00,1.00,1.00,1.00,32.00,0.90,6.00,5.00,4.00,47.00,0.00,14.00,74.00,7.00,60.00,155.00,4.40,2.00
215.00,G5180,00AF,Bromley,LONDON,133.00,85.00,10.00,3.00,2.00,3.00,10.00,113.00,0.90,8.00,39.00,65.00,225.00,31.00,2.00,128.00,170.00,98.00,429.00,3.20,265.00
223.00,F5540,00AT,Hounslow,LONDON,92.00,25.00,25.00,18.00,3.00,11.00,4.00,86.00,0.90,5.00,7.00,20.00,118.00,68.00,50.00,6.00,473.00,23.00,620.00,6.70,1.00
226.00,W5780,00BC,Redbridge,LONDON,101.00,23.00,21.00,21.00,6.00,1.00,23.00,95.00,0.90,37.00,43.00,104.00,279.00,66.00,0.00,0.00,1646.00,372.00,2084.00,20.60,0.00
232.00,Q1445,00ML,Brighton and Hove,SOUTH EAST,115.00,72.00,10.00,4.00,7.00,3.00,2.00,98.00,0.90,22.00,11.00,33.00,164.00,80.00,0.00,55.00,244.00,123.00,502.00,4.40,6.00
333.00,R3325,40UD,South Somerset,SOUTH WEST,69.00,58.00,0.00,2.00,0.00,0.00,0.00,60.00,0.90,6.00,1.00,16.00,83.00,17.00,10.00,23.00,0.00,25.00,75.00,1.10,23.00
29.00,B4215,00BN,Manchester,NORTH WEST,202.00,65.00,38.00,11.00,10.00,13.00,16.00,153.00,0.80,57.00,162.00,161.00,533.00,22.00,65.00,109.00,0.00,91.00,287.00,1.40,5.00
51.00,H4315,00BZ,St Helens,NORTH WEST,75.00,54.00,0.00,0.00,0.00,1.00,2.00,57.00,0.80,4.00,2.00,13.00,76.00,1.00,4.00,0.00,0.00,19.00,24.00,0.30,19.00
55.00,E2001,00FB,East Riding of Yorkshire,YORKSHIRE AND THE HUMBER,144.00,120.00,0.00,0.00,0.00,0.00,0.00,120.00,0.80,13.00,45.00,108.00,286.00,6.00,0.00,48.00,0.00,0.00,54.00,0.40,50.00
83.00,A1015,17UD,Chesterfield,EAST MIDLANDS,45.00,34.00,0.00,0.00,0.00,0.00,0.00,34.00,0.80,1.00,1.00,7.00,43.00,7.00,0.00,22.00,0.00,0.00,29.00,0.60,0.00
119.00,L3245,00GG,Shropshire,WEST MIDLANDS,123.00,94.00,0.00,0.00,1.00,1.00,2.00,98.00,0.80,12.00,105.00,67.00,282.00,11.00,15.00,36.00,0.00,13.00,75.00,0.60,96.00
141.00,D4635,00CW,Wolverhampton,WEST MIDLANDS,99.00,42.00,16.00,11.00,3.00,3.00,1.00,76.00,0.80,2.00,33.00,70.00,181.00,10.00,11.00,30.00,0.00,0.00,51.00,0.50,--
165.00,A1530,22UG,Colchester,EAST of ENGLAND,72.00,53.00,1.00,0.00,1.00,1.00,3.00,59.00,0.80,14.00,5.00,14.00,92.00,20.00,33.00,45.00,3.00,62.00,163.00,2.30,0.00
183.00,K2610,33UC,Broadland,EAST of ENGLAND,53.00,40.00,0.00,0.00,1.00,0.00,0.00,41.00,0.80,3.00,0.00,10.00,54.00,5.00,4.00,4.00,12.00,5.00,30.00,0.60,0.00
196.00,5.00,H,LONDON,LONDON,3244.00,960.00,920.00,300.00,110.00,280.00,140.00,2710.00,0.80,480.00,1060.00,2170.00,6420.00,1330.00,2120.00,3240.00,23530.00,5630.00,35850.00,11.10,1280.00
213.00,D5120,00AD,Bexley,LONDON,93.00,56.00,11.00,1.00,1.00,7.00,0.00,76.00,0.80,17.00,28.00,152.00,273.00,19.00,1.00,0.00,117.00,80.00,217.00,2.30,0.00
5.00,W0734,00EC,Middlesbrough,NORTH EAST,58.00,38.00,0.00,1.00,2.00,1.00,1.00,43.00,0.70,1.00,5.00,26.00,75.00,7.00,1.00,0.00,8.00,1.00,17.00,0.30,40.00
57.00,B2002,00FC,North East Lincolnshire,YORKSHIRE AND THE HUMBER,67.00,46.00,0.00,1.00,0.00,1.00,0.00,48.00,0.70,3.00,6.00,26.00,83.00,3.00,0.00,0.00,0.00,3.00,6.00,0.10,22.00
61.00,R2710,36UC,Hambleton,YORKSHIRE AND THE HUMBER,37.00,23.00,0.00,0.00,0.00,1.00,1.00,25.00,0.70,0.00,5.00,8.00,38.00,5.00,1.00,0.00,14.00,0.00,20.00,0.50,7.00
98.00,M2515,32UD,Lincoln,EAST MIDLANDS,38.00,23.00,2.00,0.00,0.00,0.00,0.00,25.00,0.70,0.00,1.00,1.00,27.00,0.00,21.00,0.00,4.00,0.00,25.00,0.70,1.00
101.00,E2530,32UG,South Kesteven,EAST MIDLANDS,55.00,38.00,1.00,0.00,1.00,1.00,0.00,41.00,0.70,7.00,4.00,1.00,53.00,3.00,0.00,10.00,0.00,0.00,13.00,0.20,30.00
120.00,M3455,00GL,Stoke-on-Trent,WEST MIDLANDS,104.00,51.00,9.00,3.00,0.00,7.00,0.00,70.00,0.70,8.00,9.00,32.00,119.00,11.00,0.00,7.00,0.00,0.00,18.00,0.20,0.00
155.00,Q0505,12UB,Cambridge,EAST of ENGLAND,45.00,26.00,4.00,1.00,0.00,0.00,2.00,33.00,0.70,3.00,0.00,0.00,36.00,7.00,16.00,40.00,5.00,4.00,72.00,1.60,0.00
156.00,V0510,12UC,East Cambridgeshire,EAST of ENGLAND,34.00,23.00,0.00,0.00,0.00,0.00,2.00,25.00,0.70,2.00,2.00,1.00,30.00,0.00,13.00,2.00,0.00,0.00,15.00,0.40,0.00
157.00,D0515,12UD,Fenland,EAST of ENGLAND,39.00,27.00,0.00,0.00,0.00,0.00,0.00,27.00,0.70,1.00,0.00,10.00,38.00,0.00,7.00,3.00,0.00,0.00,10.00,0.30,6.00
160.00,V1505,22UB,Basildon,EAST of ENGLAND,74.00,48.00,3.00,1.00,1.00,1.00,0.00,54.00,0.70,6.00,10.00,1.00,71.00,0.00,16.00,208.00,0.00,3.00,227.00,3.10,0.00
190.00,H3510,42UC,Forest Heath,EAST of ENGLAND,25.00,18.00,0.00,0.00,0.00,0.00,0.00,18.00,0.70,1.00,0.00,6.00,25.00,0.00,0.00,8.00,0.00,0.00,8.00,0.30,0.00
214.00,T5150,00AE,Brent,LONDON,98.00,18.00,35.00,8.00,2.00,6.00,2.00,71.00,0.70,7.00,35.00,113.00,226.00,85.00,50.00,0.00,2711.00,173.00,3019.00,30.80,10.00
224.00,Z5630,00AX,Kingston upon Thames,LONDON,68.00,24.00,1.00,10.00,4.00,2.00,4.00,45.00,0.70,4.00,26.00,51.00,126.00,6.00,65.00,35.00,351.00,55.00,512.00,7.50,8.00
227.00,L5810,00BD,Richmond upon Thames,LONDON,83.00,32.00,2.00,7.00,2.00,0.00,15.00,58.00,0.70,3.00,7.00,17.00,85.00,24.00,49.00,6.00,117.00,43.00,239.00,2.90,12.00
264.00,J2210,29UC,Canterbury,SOUTH EAST,61.00,33.00,0.00,0.00,0.00,0.00,8.00,41.00,0.70,11.00,74.00,108.00,234.00,4.00,29.00,23.00,11.00,5.00,72.00,1.20,3.00
265.00,T2215,29UD,Dartford,SOUTH EAST,39.00,16.00,4.00,1.00,5.00,0.00,0.00,26.00,0.70,3.00,8.00,9.00,46.00,2.00,0.00,24.00,0.00,20.00,46.00,1.20,--
302.00,D0840,00HE,Cornwall,SOUTH WEST,232.00,148.00,0.00,1.00,1.00,1.00,9.00,160.00,0.70,17.00,16.00,58.00,251.00,125.00,27.00,49.00,210.00,10.00,421.00,1.80,116.00
331.00,Q3305,40UB,Mendip,SOUTH WEST,46.00,33.00,0.00,0.00,0.00,0.00,0.00,33.00,0.70,4.00,3.00,3.00,43.00,17.00,4.00,4.00,17.00,2.00,44.00,1.00,1.00
334.00,D3315,40UE,Taunton Deane,SOUTH WEST,47.00,33.00,0.00,0.00,0.00,0.00,0.00,33.00,0.70,1.00,8.00,13.00,55.00,19.00,5.00,22.00,3.00,0.00,49.00,1.00,12.00
9.00,H4505,00CH,Gateshead,NORTH EAST,85.00,45.00,5.00,0.00,1.00,1.00,0.00,52.00,0.60,5.00,93.00,22.00,172.00,2.00,1.00,13.00,0.00,1.00,17.00,0.20,25.00
11.00,W4515,00CK,North Tyneside,NORTH EAST,89.00,48.00,2.00,1.00,2.00,0.00,2.00,55.00,0.60,15.00,16.00,10.00,96.00,0.00,0.00,29.00,0.00,0.00,29.00,0.30,34.00
21.00,R0905,16UB,Allerdale,NORTH WEST,41.00,21.00,0.00,0.00,1.00,1.00,0.00,23.00,0.60,5.00,8.00,32.00,68.00,0.00,3.00,17.00,0.00,0.00,20.00,0.50,5.00
24.00,J0920,16UE,Copeland,NORTH WEST,31.00,17.00,0.00,0.00,0.00,0.00,0.00,17.00,0.60,2.00,6.00,13.00,38.00,7.00,0.00,3.00,0.00,0.00,10.00,0.30,12.00
27.00,N4205,00BL,Bolton,NORTH WEST,111.00,54.00,2.00,13.00,0.00,1.00,0.00,70.00,0.60,15.00,5.00,60.00,150.00,0.00,12.00,36.00,0.00,0.00,48.00,0.40,34.00
59.00,C2741,00FF,York,YORKSHIRE AND THE HUMBER,84.00,45.00,0.00,1.00,0.00,0.00,3.00,49.00,0.60,7.00,6.00,2.00,64.00,2.00,30.00,62.00,0.00,0.00,94.00,1.10,0.00
82.00,R1010,17UC,Bolsover,EAST MIDLANDS,32.00,19.00,0.00,0.00,0.00,0.00,0.00,19.00,0.60,1.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113.00,N3020,37UE,Gedling,EAST MIDLANDS,49.00,24.00,0.00,1.00,0.00,1.00,1.00,27.00,0.60,7.00,2.00,6.00,42.00,5.00,2.00,2.00,2.00,0.00,11.00,0.20,15.00
118.00,W1850,00GA,Herefordshire,WEST MIDLANDS,78.00,44.00,0.00,0.00,0.00,1.00,1.00,46.00,0.60,7.00,19.00,7.00,79.00,13.00,0.00,30.00,28.00,0.00,71.00,0.90,9.00
124.00,K3415,41UD,Lichfield,WEST MIDLANDS,40.00,12.00,0.00,1.00,0.00,0.00,13.00,26.00,0.60,1.00,3.00,4.00,34.00,1.00,0.00,15.00,0.00,0.00,16.00,0.40,3.00
128.00,L3435,41UH,Staffordshire Moorlands,WEST MIDLANDS,40.00,23.00,1.00,0.00,0.00,0.00,0.00,24.00,0.60,1.00,5.00,10.00,40.00,0.00,6.00,9.00,0.00,1.00,16.00,0.40,15.00
142.00,P1805,47UB,Bromsgrove,WEST MIDLANDS,38.00,20.00,1.00,0.00,0.00,0.00,0.00,21.00,0.60,2.00,3.00,4.00,30.00,0.00,5.00,26.00,0.00,0.00,31.00,0.80,9.00
146.00,H1840,47UF,Wychavon,WEST MIDLANDS,49.00,31.00,0.00,0.00,0.00,0.00,0.00,31.00,0.60,1.00,6.00,2.00,40.00,10.00,0.00,6.00,0.00,0.00,16.00,0.30,0.00
158.00,H0520,12UE,Huntingdonshire,EAST of ENGLAND,69.00,33.00,1.00,0.00,1.00,0.00,4.00,39.00,0.60,2.00,0.00,17.00,58.00,19.00,31.00,9.00,17.00,0.00,76.00,1.10,6.00
186.00,Y2620,33UF,North Norfolk,EAST of ENGLAND,46.00,27.00,0.00,1.00,0.00,0.00,0.00,28.00,0.60,2.00,9.00,4.00,43.00,0.00,0.00,6.00,0.00,4.00,10.00,0.20,0.00
