Ignore,DCLG Codes,ONS Codes,County and Local Authority area ,Region,Number of households 2008 mid-year estimate) (000s),White,Black or Black British,Asian or Asian British,Mixed,Chinese or Other Ethnic Group,Ethnic Group Not Stated,Total,No. per 1000.0 h/holds,Eligible homeless and in priority need but intentionally ,Eligible homeless but not in priority need,Eligible but not homeless ,Total decisions,Bed and breakfast (including shared annexe),Hostels (including women's refuges),LA/HA stock,Private sector leased (by LA or HA),Other Types (inc private landlord),Total in TA,No. per 1000.0 h/holds,Duty Owed but no accommodation has been secured
24,J0920,16UE,Copeland,NORTH WEST,31,17,0,0,0,0,0,17,0.6,2,6,13,38,7,0,3,0,0,10,0.3,12
27,N4205,00BL,Bolton,NORTH WEST,111,54,2,13,0,1,0,70,0.6,15,5,60,150,0,12,36,0,0,48,0.4,34
59,C2741,00FF,York UA,YORKSHIRE AND THE HUMBER,84,45,0,1,0,0,3,49,0.6,7,6,2,64,2,30,62,0,0,94,1.1,0
82,R1010,17UC,Bolsover,EAST MIDLANDS,32,19,0,0,0,0,0,19,0.6,1,0,0,20,0,0,0,0,0,0,0,0
113,N3020,37UE,Gedling,EAST MIDLANDS,49,24,0,1,0,1,1,27,0.6,7,2,6,42,5,2,2,2,0,11,0.2,15
118,W1850,00GA,Herefordshire County of UA,WEST MIDLANDS,78,44,0,0,0,1,1,46,0.6,7,19,7,79,13,0,30,28,0,71,0.9,9
124,K3415,41UD,Lichfield,WEST MIDLANDS,40,12,0,1,0,0,13,26,0.6,1,3,4,34,1,0,15,0,0,16,0.4,3
128,L3435,41UH,Staffordshire Moorlands,WEST MIDLANDS,40,23,1,0,0,0,0,24,0.6,1,5,10,40,0,6,9,0,1,16,0.4,15
142,P1805,47UB,Bromsgrove,WEST MIDLANDS,38,20,1,0,0,0,0,21,0.6,2,3,4,30,0,5,26,0,0,31,0.8,9
146,H1840,47UF,Wychavon,WEST MIDLANDS,49,31,0,0,0,0,0,31,0.6,1,6,2,40,10,0,6,0,0,16,0.3,0
